GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0400000US01,01,Alabama,4830620,*****,4637128,582,193492,582
0400000US02,02,Alaska,733375,*****,685567,109,47808,108
0400000US04,04,Arizona,6641928,*****,4627217,*****,2014711,*****
0400000US05,05,Arkansas,2958208,*****,2754982,172,203226,172
0400000US06,06,California,38421464,*****,23670778,*****,14750686,*****
0400000US08,08,Colorado,5278906,*****,4166320,294,1112586,293
0400000US09,09,Connecticut,3593222,*****,3066714,*****,526508,*****
0400000US10,10,Delaware,926454,*****,845748,*****,80706,*****
0400000US11,11,District of Columbia,647484,*****,581681,*****,65803,*****
0400000US12,12,Florida,19645772,*****,14985039,157,4660733,157
0400000US13,13,Georgia,10006693,*****,9091573,643,915120,643
0400000US15,15,Hawaii,1406299,*****,1267048,*****,139251,*****
0400000US16,16,Idaho,1616547,*****,1425233,110,191314,110
0400000US17,17,Illinois,12873761,*****,10750920,425,2122841,425
0400000US18,18,Indiana,6568645,*****,6147439,151,421206,151
0400000US19,19,Iowa,3093526,*****,2925296,123,168230,124
0400000US20,20,Kansas,2892987,*****,2569769,80,323218,81
0400000US21,21,Kentucky,4397353,*****,4253872,449,143481,449
0400000US22,22,Louisiana,4625253,*****,4406990,395,218263,395
0400000US23,23,Maine,1329100,*****,1309653,*****,19447,*****
0400000US24,24,Maryland,5930538,*****,5396867,*****,533671,*****
0400000US25,25,Massachusetts,6705586,*****,5997658,480,707928,480
0400000US26,26,Michigan,9900571,*****,9433550,71,467021,69
0400000US27,27,Minnesota,5419171,*****,5148187,73,270984,69
0400000US28,28,Mississippi,2988081,*****,2901574,799,86507,800
0400000US29,29,Missouri,6045448,*****,5812402,397,233046,397
0400000US30,30,Montana,1014699,*****,981077,171,33622,171
0400000US31,31,Nebraska,1869365,*****,1683097,80,186268,78
0400000US32,32,Nevada,2798636,*****,2028083,*****,770553,*****
0400000US33,33,New Hampshire,1324201,*****,1282060,*****,42141,*****
0400000US34,34,New Jersey,8904413,*****,7216405,*****,1688008,*****
0400000US35,35,New Mexico,2084117,*****,1097145,*****,986972,*****
0400000US36,36,New York,19673174,*****,16053516,*****,3619658,*****
0400000US37,37,North Carolina,9845333,*****,8975425,192,869908,192
0400000US38,38,North Dakota,721640,*****,701071,124,20569,124
0400000US39,39,Ohio,11575977,*****,11185007,68,390970,68
0400000US40,40,Oklahoma,3849733,*****,3478274,*****,371459,*****
0400000US41,41,Oregon,3939233,*****,3453587,*****,485646,*****
0400000US42,42,Pennsylvania,12779559,*****,11964021,259,815538,259
0400000US44,44,Rhode Island,1053661,*****,909873,*****,143788,*****
0400000US45,45,South Carolina,4777576,*****,4523484,129,254092,129
0400000US46,46,South Dakota,843190,*****,815276,331,27914,331
0400000US47,47,Tennessee,6499615,*****,6179525,200,320090,200
0400000US48,48,Texas,26538614,*****,16342247,434,10196367,434
0400000US49,49,Utah,2903379,*****,2513523,*****,389856,*****
0400000US50,50,Vermont,626604,*****,615913,*****,10691,*****
0400000US51,51,Virginia,8256630,*****,7547474,429,709156,428
0400000US53,53,Washington,6985464,*****,6149976,*****,835488,*****
0400000US54,54,West Virginia,1851420,*****,1826012,480,25408,480
0400000US55,55,Wisconsin,5742117,*****,5377559,*****,364558,*****
0400000US56,56,Wyoming,579679,*****,523981,108,55698,108
0400000US72,72,Puerto Rico,3583073,*****,35785,1842,3547288,1842
